sheet	path	field	type	availability	description	producer_or_source
Structure	MuData	obs_names	string index	Always	Canonical final cell-barcode index shared by all modalities after barcode intersection and filtering.	create_mdata.py
Structure	MuData	var_names	string index	Always	Union feature index maintained by MuData; use modality-specific var_names for biological identifiers.	MuData
Structure	MuData.mod	gene	AnnData	Always	RNA count and annotation modality with cells by genes.	create_mdata.py
Structure	MuData.mod	guide	AnnData	Always	Guide UMI, assignment, and guide-design modality with cells by guides.	create_mdata.py
Structure	MuData.mod	hashing	AnnData	When ENABLE_DATA_HASHING=true	Hashtag-oligo count and demultiplexing modality aligned to the retained cells.	create_mdata.py
Structure	MuData.obsm	gene	boolean membership matrix	Always	MuData-generated mapping from global observations to gene-modality observations.	MuData
Structure	MuData.obsm	guide	boolean membership matrix	Always	MuData-generated mapping from global observations to guide-modality observations.	MuData
Structure	MuData.obsm	hashing	boolean membership matrix	Hashing only	MuData-generated mapping from global observations to hashing-modality observations.	MuData
Structure	MuData.varm	gene	boolean membership matrix	Always	MuData-generated mapping from global variables to gene features.	MuData
Structure	MuData.varm	guide	boolean membership matrix	Always	MuData-generated mapping from global variables to guide features.	MuData
Structure	MuData.varm	hashing	boolean membership matrix	Hashing only	MuData-generated mapping from global variables to hashtag features.	MuData
Matrices	gene.X	RNA counts	sparse integer matrix	Always	Filtered cell-by-gene UMI count matrix; values remain counts rather than normalized expression.	RNA mapping and preprocessing
Matrices	guide.X	Guide counts	sparse integer matrix	Always	Raw cell-by-guide UMI count matrix before binary guide assignment.	Guide mapping
Matrices	guide.layers	guide_assignment	sparse binary matrix	After guide assignment	Final cell-by-guide assignment used by inference and QC; nonzero means that guide is assigned to the cell.	add_guide_assignment.py or CLEANSER integration
Matrices	guide.layers	guide_assignment_posteriors	sparse/dense float matrix	CLEANSER when emitted	Per-cell, per-guide assignment posterior/probability retained separately from the binary assignment.	CLEANSER integration
Matrices	hashing.X	Hash counts	sparse integer matrix	Hashing only	Cell-by-hashtag UMI count matrix carried through hashing demultiplexing.	Hash mapping/demultiplexing
Cell fields	MuData.obs	batch	categorical	When common to all modalities	Shared batch label promoted from modality observation tables.	create_mdata.py
Cell fields	MuData.obs	concat_batch	categorical	After multi-measurement concatenation	Stable concatenation batch/source label common to modalities.	concatenation
Cell fields	gene.obs	batch	categorical	Always	Input or mapping batch label for each cell.	RNA mapping
Cell fields	gene.obs	concat_batch	categorical	After concatenation	Measurement-set/source label added during concatenation.	concatenation
Cell fields	gene.obs	batch_number	integer	Always	One-based numeric encoding of batch used as an inference/QC covariate.	preprocess_adata.py
Cell fields	gene.obs	n_counts	integer	Always	Number of detected genes; renamed from n_genes_by_counts during MuData creation.	Scanpy QC/create_mdata.py
Cell fields	gene.obs	num_expressed_genes	integer	Version/input dependent	Number of genes with a nonzero count in the cell; legacy/input alias retained when supplied.	RNA preprocessing/create_mdata.py
Cell fields	gene.obs	total_gene_umis	integer	Always	Total RNA UMI count for the cell; renamed from total_counts.	Scanpy QC/create_mdata.py
Cell fields	gene.obs	log1p_n_genes_by_counts	float	Always	Natural log of one plus the number of detected genes.	Scanpy QC
Cell fields	gene.obs	log1p_total_counts	float	Always	Natural log of one plus total RNA counts.	Scanpy QC
Cell fields	gene.obs	pct_counts_in_top_50_genes	float percent	Always	Percent of cell RNA counts contributed by its 50 most abundant genes.	Scanpy QC
Cell fields	gene.obs	pct_counts_in_top_100_genes	float percent	Always	Percent of cell RNA counts contributed by its 100 most abundant genes.	Scanpy QC
Cell fields	gene.obs	pct_counts_in_top_200_genes	float percent	Always	Percent of cell RNA counts contributed by its 200 most abundant genes.	Scanpy QC
Cell fields	gene.obs	pct_counts_in_top_500_genes	float percent	Always	Percent of cell RNA counts contributed by its 500 most abundant genes.	Scanpy QC
Cell fields	gene.obs	total_counts_mt	integer	Always	Total RNA UMIs assigned to mitochondrial genes.	Scanpy QC
Cell fields	gene.obs	log1p_total_counts_mt	float	Always	Natural log of one plus mitochondrial RNA UMIs.	Scanpy QC
Cell fields	gene.obs	percent_mito	float percent	Always	Percent of RNA counts from mitochondrial genes; renamed from pct_counts_mt.	preprocess_adata.py/create_mdata.py
Cell fields	gene.obs	total_counts_ribo	integer	Always	Total RNA UMIs assigned to ribosomal genes.	Scanpy QC
Cell fields	gene.obs	log1p_total_counts_ribo	float	Always	Natural log of one plus ribosomal RNA UMIs.	Scanpy QC
Cell fields	gene.obs	pct_counts_ribo	float percent	Always	Percent of RNA counts from ribosomal genes.	Scanpy QC
Cell fields	gene.obs	doublet_scores	float	When ENABLE_SCRUBLET=true	Scrublet doublet score before predicted doublets are removed.	doublets.py
Cell fields	gene.obs	predicted_doublets	boolean	When ENABLE_SCRUBLET=true	Scrublet binary doublet prediction used for filtering.	doublets.py
Cell fields	gene.obs	doublet_info	string	When ENABLE_SCRUBLET=true	String representation of the Scrublet prediction retained for reporting.	doublets.py
Cell fields	guide.obs	batch	categorical	Always	Input or mapping batch label for each guide-count row.	Guide mapping
Cell fields	guide.obs	concat_batch	categorical	After concatenation	Measurement-set/source label added during concatenation.	concatenation
Cell fields	guide.obs	batch_number	integer	Hashing workflows	One-based guide batch encoding added when hashing data are present.	create_mdata.py
Cell fields	guide.obs	num_expressed_guides	integer	Always	Number of guides with at least one raw guide UMI in the cell; this is not the number of assigned guides.	create_mdata.py
Cell fields	guide.obs	total_guide_umis	integer	Always	Sum of raw guide UMIs in the cell; this is not derived from guide_assignment.	create_mdata.py
Cell fields	hashing.obs	batch	categorical	Hashing only	Input batch label for each hashtag-count row.	Hash mapping
Cell fields	hashing.obs	concat_batch	categorical	Hashing after concatenation	Measurement-set/source label added during concatenation.	hashing_concat.py
Cell fields	hashing.obs	cluster_id	integer/string	Hashing after demultiplexing	Demultiplexing cluster assigned from the HTO report.	demultiplex_filter.py
Cell fields	hashing.obs	hto_type	string/categorical	Hashing after demultiplexing	HTO identity or demultiplexing class associated with cluster_id.	demultiplex_filter.py
Cell fields	hashing.obs	hto_type_split	string/categorical	Hashing after demultiplexing	Normalized HTO class; multi-HTO labels are collapsed to multiplets and negatives remain negative.	demultiplex_filter.py
Gene fields	gene.var_names	gene_id	string index	Always	Version-stripped Ensembl gene identifier used as the canonical gene feature key.	RNA reference/preprocess_adata.py
Gene fields	gene.var	symbol	string	Always	Human-readable gene symbol derived from the RNA reference.	preprocess_adata.py
Gene fields	gene.var	mt	boolean	Always	True when the gene symbol begins with MT-.	preprocess_adata.py
Gene fields	gene.var	ribo	boolean	Always	True for ribosomal gene-symbol prefixes used by pipeline QC.	preprocess_adata.py
Gene fields	gene.var	n_cells_by_counts	integer	Always	Number of retained cells with a nonzero count for the gene.	Scanpy QC
Gene fields	gene.var	n_cells	integer	After gene filtering	Number of retained cells supporting the gene; used by the fractional minimum-cell filter.	preprocessing/aggregation
Gene fields	gene.var	mean_counts	float	Always	Mean raw RNA UMI count across retained cells.	Scanpy QC
Gene fields	gene.var	log1p_mean_counts	float	Always	Natural log of one plus mean_counts.	Scanpy QC
Gene fields	gene.var	pct_dropout_by_counts	float percent	Always	Percent of retained cells with zero counts for the gene.	Scanpy QC
Gene fields	gene.var	total_counts	integer	Always	Total raw RNA UMIs for the gene across retained cells.	Scanpy QC
Gene fields	gene.var	log1p_total_counts	float	Always	Natural log of one plus the gene total count.	Scanpy QC
Gene fields	gene.var	gene_chr	string/categorical	After GTF annotation	Chromosome/contig of the gene from the configured GTF.	create_mdata.py
